datetime,Demand (MW)
2/22/2023 00:00,450.18
2/22/2023 01:00,442.80
2/22/2023 02:00,440.15
2/22/2023 03:00,442.49
2/22/2023 04:00,448.52
2/22/2023 05:00,460.40
2/22/2023 06:00,480.23
2/22/2023 07:00,501.43
2/22/2023 08:00,512.12
2/22/2023 09:00,512.57
2/22/2023 10:00,508.92
2/22/2023 11:00,503.65
2/22/2023 12:00,500.01
2/22/2023 13:00,497.33
2/22/2023 14:00,496.98
2/22/2023 15:00,497.38
2/22/2023 16:00,501.72
2/22/2023 17:00,513.66
2/22/2023 18:00,525.74
2/22/2023 19:00,533.63
2/22/2023 20:00,533.70
2/22/2023 21:00,527.64
2/22/2023 22:00,513.53
2/22/2023 23:00,495.72
2/23/2023 00:00,482.60
2/23/2023 01:00,473.16
2/23/2023 02:00,469.94
2/23/2023 03:00,470.25
2/23/2023 04:00,476.23
2/23/2023 05:00,488.25
2/23/2023 06:00,508.84
2/23/2023 07:00,530.74
2/23/2023 08:00,542.66
2/23/2023 09:00,545.61
2/23/2023 10:00,544.61
2/23/2023 11:00,542.89
2/23/2023 12:00,541.96
2/23/2023 13:00,540.59
2/23/2023 14:00,539.99
2/23/2023 15:00,540.64
2/23/2023 16:00,545.88
2/23/2023 17:00,557.39
2/23/2023 18:00,568.57
2/23/2023 19:00,573.79
2/23/2023 20:00,571.45
2/23/2023 21:00,563.55
2/23/2023 22:00,549.89
2/23/2023 23:00,533.39
2/24/2023 00:00,519.86
2/24/2023 01:00,510.46
2/24/2023 02:00,506.18
2/24/2023 03:00,506.28
2/24/2023 04:00,512.53
2/24/2023 05:00,525.45
2/24/2023 06:00,544.20
2/24/2023 07:00,562.03
2/24/2023 08:00,570.58
2/24/2023 09:00,569.58
2/24/2023 10:00,564.88
2/24/2023 11:00,561.20
2/24/2023 12:00,558.35
2/24/2023 13:00,556.37
2/24/2023 14:00,554.43
2/24/2023 15:00,555.22
2/24/2023 16:00,562.98
2/24/2023 17:00,575.54
2/24/2023 18:00,588.17
2/24/2023 19:00,592.01
2/24/2023 20:00,588.26
2/24/2023 21:00,577.17
2/24/2023 22:00,561.95
2/24/2023 23:00,545.56
2/25/2023 00:00,532.78
2/25/2023 01:00,524.37
2/25/2023 02:00,520.72
2/25/2023 03:00,522.32
2/25/2023 04:00,529.13
2/25/2023 05:00,542.38
2/25/2023 06:00,559.97
2/25/2023 07:00,572.83
2/25/2023 08:00,576.99
2/25/2023 09:00,572.65
2/25/2023 10:00,564.85
2/25/2023 11:00,556.47
2/25/2023 12:00,550.63
2/25/2023 13:00,545.35
2/25/2023 14:00,541.77
2/25/2023 15:00,540.16
2/25/2023 16:00,544.54
2/25/2023 17:00,554.53
2/25/2023 18:00,565.05
2/25/2023 19:00,572.55
2/25/2023 20:00,569.39
2/25/2023 21:00,559.49
2/25/2023 22:00,544.38
2/25/2023 23:00,529.80
2/26/2023 00:00,518.20
2/26/2023 01:00,511.92
2/26/2023 02:00,509.58
2/26/2023 03:00,509.69
2/26/2023 04:00,514.41
2/26/2023 05:00,524.27
2/26/2023 06:00,539.82
2/26/2023 07:00,553.96
2/26/2023 08:00,559.94
2/26/2023 09:00,556.19
2/26/2023 10:00,547.77
2/26/2023 11:00,538.44
2/26/2023 12:00,532.08
2/26/2023 13:00,526.79
2/26/2023 14:00,523.41
2/26/2023 15:00,522.36
2/26/2023 16:00,526.55
2/26/2023 17:00,535.15
2/26/2023 18:00,545.22
2/26/2023 19:00,552.92
2/26/2023 20:00,552.29
2/26/2023 21:00,544.14
2/26/2023 22:00,529.65
2/26/2023 23:00,514.85
2/27/2023 00:00,503.06
2/27/2023 01:00,495.63
2/27/2023 02:00,493.57
2/27/2023 03:00,494.81
2/27/2023 04:00,500.59
2/27/2023 05:00,512.66
2/27/2023 06:00,528.91
2/27/2023 07:00,545.26
2/27/2023 08:00,553.73
2/27/2023 09:00,553.05
2/27/2023 10:00,547.58
2/27/2023 11:00,540.81
2/27/2023 12:00,535.30
2/27/2023 13:00,532.18
2/27/2023 14:00,529.48
2/27/2023 15:00,529.27
2/27/2023 16:00,533.82
2/27/2023 17:00,542.79
2/27/2023 18:00,553.21
2/27/2023 19:00,559.60
2/27/2023 20:00,559.43
2/27/2023 21:00,550.38
2/27/2023 22:00,536.65
2/27/2023 23:00,521.10
2/28/2023 00:00,509.41
2/28/2023 01:00,501.98
2/28/2023 02:00,499.08
2/28/2023 03:00,502.24
2/28/2023 04:00,508.52
2/28/2023 05:00,521.58
2/28/2023 06:00,537.94
2/28/2023 07:00,553.46
2/28/2023 08:00,561.72
2/28/2023 09:00,562.79
2/28/2023 10:00,558.70
2/28/2023 11:00,552.33
2/28/2023 12:00,547.48
2/28/2023 13:00,543.67
2/28/2023 14:00,541.40
2/28/2023 15:00,541.31
2/28/2023 16:00,545.66
2/28/2023 17:00,554.05
2/28/2023 18:00,562.72
2/28/2023 19:00,568.00
2/28/2023 20:00,566.83
2/28/2023 21:00,558.23
2/28/2023 22:00,544.70
2/28/2023 23:00,530.21
