Delivery Day,Hours,"Prices
(EUR/MWh)"
12/25/2024,H1,110.97
12/25/2024,H2,76.77
12/25/2024,H3,85.13
12/25/2024,H4,89.73
12/25/2024,H5,91.78
12/25/2024,H6,104.40
12/25/2024,H7,129.53
12/25/2024,H8,151.20
12/25/2024,H9,155.91
12/25/2024,H10,135.44
12/25/2024,H11,124.44
12/25/2024,H12,116.87
12/25/2024,H13,114.40
12/25/2024,H14,121.80
12/25/2024,H15,128.14
12/25/2024,H16,137.65
12/25/2024,H17,136.54
12/25/2024,H18,141.69
12/25/2024,H19,144.21
12/25/2024,H20,147.67
12/25/2024,H21,144.80
12/25/2024,H22,130.37
12/25/2024,H23,120.58
12/25/2024,H24,87.71
12/26/2024,H1,58.95
12/26/2024,H2,67.63
12/26/2024,H3,87.95
12/26/2024,H4,78.26
12/26/2024,H5,83.29
12/26/2024,H6,96.52
12/26/2024,H7,133.44
12/26/2024,H8,135.80
12/26/2024,H9,127.26
12/26/2024,H10,111.49
12/26/2024,H11,99.32
12/26/2024,H12,90.69
12/26/2024,H13,85.04
12/26/2024,H14,80.23
12/26/2024,H15,78.77
12/26/2024,H16,82.75
12/26/2024,H17,93.23
12/26/2024,H18,111.90
12/26/2024,H19,130.99
12/26/2024,H20,143.22
12/26/2024,H21,144.85
12/26/2024,H22,133.15
12/26/2024,H23,123.11
12/26/2024,H24,108.42
12/27/2024,H1,82.32
12/27/2024,H2,73.43
12/27/2024,H3,69.81
12/27/2024,H4,62.98
12/27/2024,H5,61.68
12/27/2024,H6,59.69
12/27/2024,H7,52.67
12/27/2024,H8,33.80
12/27/2024,H9,6.63
12/27/2024,H10,0.04
12/27/2024,H11,-2.90
12/27/2024,H12,-10.54
12/27/2024,H13,-21.05
12/27/2024,H14,-20.75
12/27/2024,H15,-9.67
12/27/2024,H16,-4.56
12/27/2024,H17,-4.51
12/27/2024,H18,-0.84
12/27/2024,H19,11.84
12/27/2024,H20,77.51
12/27/2024,H21,86.75
12/27/2024,H22,86.38
12/27/2024,H23,84.42
12/27/2024,H24,114.43
12/28/2024,H1,103.85
12/28/2024,H2,93.01
12/28/2024,H3,85.27
12/28/2024,H4,86.10
12/28/2024,H5,87.86
12/28/2024,H6,94.00
12/28/2024,H7,108.61
12/28/2024,H8,115.20
12/28/2024,H9,115.40
12/28/2024,H10,103.30
12/28/2024,H11,93.14
12/28/2024,H12,88.93
12/28/2024,H13,88.61
12/28/2024,H14,83.26
12/28/2024,H15,82.08
12/28/2024,H16,89.53
12/28/2024,H17,109.00
12/28/2024,H18,143.06
12/28/2024,H19,198.38
12/28/2024,H20,291.00
12/28/2024,H21,181.20
12/28/2024,H22,127.61
12/28/2024,H23,113.54
12/28/2024,H24,96.23
12/29/2024,H1,99.03
12/29/2024,H2,77.63
12/29/2024,H3,77.49
12/29/2024,H4,64.39
12/29/2024,H5,54.79
12/29/2024,H6,69.86
12/29/2024,H7,102.40
12/29/2024,H8,106.91
12/29/2024,H9,122.66
12/29/2024,H10,120.56
12/29/2024,H11,120.97
12/29/2024,H12,121.88
12/29/2024,H13,122.49
12/29/2024,H14,107.72
12/29/2024,H15,98.22
12/29/2024,H16,97.77
12/29/2024,H17,107.18
12/29/2024,H18,137.00
12/29/2024,H19,167.78
12/29/2024,H20,167.65
12/29/2024,H21,145.65
12/29/2024,H22,128.48
12/29/2024,H23,115.53
12/29/2024,H24,100.50
12/30/2024,H1,48.78
12/30/2024,H2,49.51
12/30/2024,H3,34.89
12/30/2024,H4,63.60
12/30/2024,H5,55.07
12/30/2024,H6,58.26
12/30/2024,H7,75.62
12/30/2024,H8,111.06
12/30/2024,H9,116.09
12/30/2024,H10,111.45
12/30/2024,H11,98.96
12/30/2024,H12,88.10
12/30/2024,H13,78.16
12/30/2024,H14,70.23
12/30/2024,H15,74.01
12/30/2024,H16,83.96
12/30/2024,H17,100.00
12/30/2024,H18,122.32
12/30/2024,H19,122.99
12/30/2024,H20,112.65
12/30/2024,H21,102.49
12/30/2024,H22,90.20
12/30/2024,H23,76.35
12/30/2024,H24,37.46
12/31/2024,H1,93.55
12/31/2024,H2,70.66
12/31/2024,H3,55.20
12/31/2024,H4,51.43
12/31/2024,H5,59.56
12/31/2024,H6,73.09
12/31/2024,H7,105.94
12/31/2024,H8,134.57
12/31/2024,H9,141.60
12/31/2024,H10,143.71
12/31/2024,H11,134.70
12/31/2024,H12,125.70
12/31/2024,H13,115.00
12/31/2024,H14,104.54
12/31/2024,H15,108.21
12/31/2024,H16,123.49
12/31/2024,H17,171.02
12/31/2024,H18,188.32
12/31/2024,H19,172.82
12/31/2024,H20,153.64
12/31/2024,H21,138.51
12/31/2024,H22,122.34
12/31/2024,H23,116.03
12/31/2024,H24,100.62
